Language,Folder,Filename,TTR,HL,MSL,FWF,HER,PVU,FK,PU,IIR,Gender
EN,EN-His,1.pdf,0.26498704547485036,0.16617528812650764,27.5012285012285,0.25967951494153313,0.004071026418362928,0.0687960687960688,22.39651439529493,3.118020191190923,0.12124948623099055,M
EN,EN-His,2.pdf,0.23113140248252248,0.1443857896989585,32.6,0.26820985515281726,0.002564280268902904,0.13023255813953488,23.888488229419323,2.0188329290911686,0.11298679592177836,F
EN,EN-His,3.pdf,0.23015212290925605,0.13418602891092107,32.78660049627791,0.2790411355735805,0.0070249130938586325,0.17121588089330025,27.790794093492792,2.7775675471126924,0.11007145287512758,F
EN,EN-His,4.pdf,0.4276942963322023,0.3414121829051543,14.162471395881006,0.16858466596921237,0.004483634733223734,0.15102974828375287,-129.15386871887927,1.4541929229277752,0.04754694124772865,M
EN,EN-His,5.pdf,0.4015101337925553,0.31818783944893364,14.243396226415094,0.18092428711897737,0.0018436578171091445,0.09433962264150944,-108.15432959132403,1.6426016690952443,0.05031282586027112,M
EN,EN-His,6.pdf,0.41790318657261005,0.32546825589880807,18.27111111111111,0.16042780748663102,0.001592900216179315,0.13333333333333333,-94.61908072110052,0.9000243249817562,0.05792400370713624,F
EN,EN-His,7.pdf,0.37894604452270153,0.2932964406992831,20.129113924050632,0.17479191438763378,0.0067776456599286565,0.17468354430379746,-115.78754855770069,2.138095837001635,0.06383507203179335,M
EN,EN-His,8.pdf,0.4082657396678254,0.31350585811767734,20.0180412371134,0.14508490239112856,0.0017327018597666627,0.11082474226804123,-101.74634777687515,1.7123728595339256,0.04560912182436488,M
EN,EN-His,9.pdf,0.4276942963322023,0.3414121829051543,14.162471395881006,0.16858466596921237,0.004483634733223734,0.15102974828375287,-129.15386871887927,1.4541929229277752,0.04754694124772865,M
EN,EN-His,10.pdf,0.41012716233245505,0.3193951197158896,16.53219696969697,0.18893416255629422,0.005468582457645293,0.12121212121212122,-96.54233881987764,1.9360751517928745,0.07286262124971801,F
EN,EN-His,11.pdf,0.39553045776763185,0.30565901718130484,19.863961813842483,0.17517665830863915,0.0017095965352176886,0.11217183770883055,-114.08739222507029,1.3696984260482998,0.0647432985006815,M
EN,EN-His,12.pdf,0.43084036992360275,0.33252915158825896,17.95667870036101,0.17883211678832117,0.0016423357664233577,0.10469314079422383,-87.48909884467821,2.392440691596301,0.06792873051224943,M
EN,EN-His,13.pdf,0.43368307775087434,0.34113532418617165,14.808764940239044,0.1564049047743282,0.0015653535090007827,0.09362549800796813,-103.35134435623124,1.4124293785310735,0.06148785425101214,F
EN,EN-His,14.pdf,0.4541917670682731,0.36834839357429716,17.825503355704697,0.1808301537750029,0.0030061278760550353,0.12751677852348994,-124.38830759278721,1.6189759036144578,0.0647515893571933,M
EN,EN-His,15.pdf,0.2328707718993929,0.1398525585429315,27.452380952380953,0.252430196483971,0.004860392967942089,0.11904761904761904,24.84915076611736,1.9622723330442324,0.11503390226794483,F
EN,EN-His,16.pdf,0.4273070226349391,0.3382182240278584,14.478991596638656,0.17225629648962548,0.0030014354691374136,0.07773109243697479,-122.50885493837697,0.7980266976204294,0.043500125722906714,M
EN,EN-His,17.pdf,0.39540668269629387,0.3212834756653677,18.526881720430108,0.20309032629243035,0.003123202104051944,0.10291858678955453,-108.10836383687578,2.976535942293342,0.09252286175363099,F
EN,EN-His,18.pdf,0.4217148182665424,0.3277027027027027,20.734299516908212,0.17994746059544658,0.00186077057793345,0.17391304347826086,-118.37214998356677,1.4445479962721341,0.04671316846332699,F
EN,EN-His,19.pdf,0.43566106831670665,0.3429725975501957,20.78477690288714,0.1743119266055046,0.002908928171850526,0.14435695538057744,-141.8929161533492,1.37643641873974,0.04907688712315962,M
